tract_id,median_hhold_inc
53033032211,154741.0
53033032212,145457.0
53033032213,179250.0
53033032214,182120.0
53033032215,230043.0
53033032307,151134.0
53033032309,124351.0
53033032311,141375.0
53033032313,123179.0
53033032315,165075.0
53033032316,174861.0
53033032317,186250.0
53033032318,199896.0
53033032319,78119.0
53033032320,171033.0
53033032321,211563.0
53033032322,190625.0
53033032323,159290.0
53033032324,127083.0
53033032325,113836.0
53033032326,206250.0
53033032327,109500.0
53033032328,197773.0
53033032329,151125.0
53033032401,126053.0
53033032402,143388.0
53033032500,124219.0
53033032601,106891.0
53033032602,150632.0
53033032702,110972.0
53033032703,104964.0
53033032704,110550.0
53033032800,99038.0
