CensusBlockGroupID,GeographicAreaName,MedianAgeTotal
530330052003 ,"Block Group 3, Census Tract 52, King County, Washington",29.5
530330052004 ,"Block Group 4, Census Tract 52, King County, Washington",32.4
530330052005 ,"Block Group 5, Census Tract 52, King County, Washington",25.9
530330053011 ,"Block Group 1, Census Tract 53.01, King County, Washington",20.3
530330053012 ,"Block Group 2, Census Tract 53.01, King County, Washington",22.6
530330053013 ,"Block Group 3, Census Tract 53.01, King County, Washington",25.9
530330053014 ,"Block Group 4, Census Tract 53.01, King County, Washington",23.6
530330053021 ,"Block Group 1, Census Tract 53.02, King County, Washington",19.2
530330053022 ,"Block Group 2, Census Tract 53.02, King County, Washington",20.3
530330053023 ,"Block Group 3, Census Tract 53.02, King County, Washington",19.3
530330054001 ,"Block Group 1, Census Tract 54, King County, Washington",36.4
530330054002 ,"Block Group 2, Census Tract 54, King County, Washington",36.3
530330054003 ,"Block Group 3, Census Tract 54, King County, Washington",30.8
530330054004 ,"Block Group 4, Census Tract 54, King County, Washington",29.5
530330056001 ,"Block Group 1, Census Tract 56, King County, Washington",42.1
530330056002 ,"Block Group 2, Census Tract 56, King County, Washington",48.3
530330056003 ,"Block Group 3, Census Tract 56, King County, Washington",55.1
530330056004 ,"Block Group 4, Census Tract 56, King County, Washington",46
530330056005 ,"Block Group 5, Census Tract 56, King County, Washington",47.2
530330057001 ,"Block Group 1, Census Tract 57, King County, Washington",36.8
530330057002 ,"Block Group 2, Census Tract 57, King County, Washington",44.5
530330057003 ,"Block Group 3, Census Tract 57, King County, Washington",43
530330057004 ,"Block Group 4, Census Tract 57, King County, Washington",44.2
530330057005 ,"Block Group 5, Census Tract 57, King County, Washington",44.5
530330057006 ,"Block Group 6, Census Tract 57, King County, Washington",38.7
530330058011 ,"Block Group 1, Census Tract 58.01, King County, Washington",31.7
530330058012 ,"Block Group 2, Census Tract 58.01, King County, Washington",34.3
530330058013 ,"Block Group 3, Census Tract 58.01, King County, Washington",35.2
530330058014 ,"Block Group 4, Census Tract 58.01, King County, Washington",33.6
530330058021 ,"Block Group 1, Census Tract 58.02, King County, Washington",35.6
530330058022 ,"Block Group 2, Census Tract 58.02, King County, Washington",32.8
530330058023 ,"Block Group 3, Census Tract 58.02, King County, Washington",35.7
530330059001 ,"Block Group 1, Census Tract 59, King County, Washington",24.4
530330059002 ,"Block Group 2, Census Tract 59, King County, Washington",43.8
530330059003 ,"Block Group 3, Census Tract 59, King County, Washington",19.8
530330059004 ,"Block Group 4, Census Tract 59, King County, Washington",32.3
530330059005 ,"Block Group 5, Census Tract 59, King County, Washington",35.8
530330060001 ,"Block Group 1, Census Tract 60, King County, Washington",36.7
530330060002 ,"Block Group 2, Census Tract 60, King County, Washington",41.8
530330060003 ,"Block Group 3, Census Tract 60, King County, Washington",41.2
530330060004 ,"Block Group 4, Census Tract 60, King County, Washington",28.3
530330061001 ,"Block Group 1, Census Tract 61, King County, Washington",40.1
530330061002 ,"Block Group 2, Census Tract 61, King County, Washington",42.5
530330061003 ,"Block Group 3, Census Tract 61, King County, Washington",34.1
530330061004 ,"Block Group 4, Census Tract 61, King County, Washington",33.6
530330062001 ,"Block Group 1, Census Tract 62, King County, Washington",33.6
530330062002 ,"Block Group 2, Census Tract 62, King County, Washington",40.5
530330062003 ,"Block Group 3, Census Tract 62, King County, Washington",50
530330063001 ,"Block Group 1, Census Tract 63, King County, Washington",46.6
530330063002 ,"Block Group 2, Census Tract 63, King County, Washington",63.3
530330063003 ,"Block Group 3, Census Tract 63, King County, Washington",37.9
530330063004 ,"Block Group 4, Census Tract 63, King County, Washington",46.6
530330064001 ,"Block Group 1, Census Tract 64, King County, Washington",32.8
530330064002 ,"Block Group 2, Census Tract 64, King County, Washington",41.4
530330064003 ,"Block Group 3, Census Tract 64, King County, Washington",40.6
530330065001 ,"Block Group 1, Census Tract 65, King County, Washington",42.3
530330065002 ,"Block Group 2, Census Tract 65, King County, Washington",35.7
530330065003 ,"Block Group 3, Census Tract 65, King County, Washington",35.4
530330066001 ,"Block Group 1, Census Tract 66, King County, Washington",30.7
530330066002 ,"Block Group 2, Census Tract 66, King County, Washington",29.8
530330067001 ,"Block Group 1, Census Tract 67, King County, Washington",28.4
530330067002 ,"Block Group 2, Census Tract 67, King County, Washington",32.7
530330067003 ,"Block Group 3, Census Tract 67, King County, Washington",36.1
530330067004 ,"Block Group 4, Census Tract 67, King County, Washington",32.3
530330068001 ,"Block Group 1, Census Tract 68, King County, Washington",35.7
530330068002 ,"Block Group 2, Census Tract 68, King County, Washington",38.1
530330069001 ,"Block Group 1, Census Tract 69, King County, Washington",34.5
530330069002 ,"Block Group 2, Census Tract 69, King County, Washington",42.3
530330069003 ,"Block Group 3, Census Tract 69, King County, Washington",42.8
530330069004 ,"Block Group 4, Census Tract 69, King County, Washington",36.1
530330070001 ,"Block Group 1, Census Tract 70, King County, Washington",32.8
530330070002 ,"Block Group 2, Census Tract 70, King County, Washington",37.5
530330070003 ,"Block Group 3, Census Tract 70, King County, Washington",32.9
530330070004 ,"Block Group 4, Census Tract 70, King County, Washington",50.8
530330070005 ,"Block Group 5, Census Tract 70, King County, Washington",34.8
530330070006 ,"Block Group 6, Census Tract 70, King County, Washington",36.9
530330071001 ,"Block Group 1, Census Tract 71, King County, Washington",32.9
530330071002 ,"Block Group 2, Census Tract 71, King County, Washington",30.8
