"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1500000US530330245002","Block Group 2, Census Tract 245, King County, Washington","49.6","7.1","46.7","5.3","54.8","7.8"
"1500000US530330245003","Block Group 3, Census Tract 245, King County, Washington","45.4","6.6","45.9","7.9","45.3","7.1"
"1500000US530330246011","Block Group 1, Census Tract 246.01, King County, Washington","49.9","4.7","52.2","5.5","48.2","5.4"
"1500000US530330246012","Block Group 2, Census Tract 246.01, King County, Washington","45.7","4.7","44.7","6.8","46.9","5.2"
"1500000US530330246013","Block Group 3, Census Tract 246.01, King County, Washington","48.6","5.3","47.4","4.7","50.9","5.2"
"1500000US530330246021","Block Group 1, Census Tract 246.02, King County, Washington","46.8","6.0","47.5","6.5","46.5","7.2"
"1500000US530330246022","Block Group 2, Census Tract 246.02, King County, Washington","44.3","2.8","42.4","5.1","45.4","2.8"
"1500000US530330246023","Block Group 3, Census Tract 246.02, King County, Washington","52.1","10.9","49.6","21.4","53.5","10.0"
"1500000US530330247011","Block Group 1, Census Tract 247.01, King County, Washington","47.4","5.5","45.6","9.6","50.5","4.5"
"1500000US530330247012","Block Group 2, Census Tract 247.01, King County, Washington","32.9","8.2","38.2","7.6","31.8","6.6"
"1500000US530330247013","Block Group 3, Census Tract 247.01, King County, Washington","39.9","2.9","36.3","10.6","40.9","5.3"
"1500000US530330247021","Block Group 1, Census Tract 247.02, King County, Washington","39.2","9.2","39.9","8.5","34.7","16.5"
"1500000US530330247022","Block Group 2, Census Tract 247.02, King County, Washington","45.6","8.8","42.4","10.1","47.9","11.8"
"1500000US530330247023","Block Group 3, Census Tract 247.02, King County, Washington","40.1","7.1","40.1","6.9","41.3","11.1"
"1500000US530330247024","Block Group 4, Census Tract 247.02, King County, Washington","49.1","2.8","50.0","8.5","47.4","4.9"
"1500000US530330247025","Block Group 5, Census Tract 247.02, King County, Washington","52.4","15.5","41.0","17.1","56.1","5.1"
"1500000US530330248001","Block Group 1, Census Tract 248, King County, Washington","39.2","10.2","33.0","12.7","42.6","8.9"
"1500000US530330248002","Block Group 2, Census Tract 248, King County, Washington","44.5","6.1","40.4","15.0","51.7","3.0"
"1500000US530330248003","Block Group 3, Census Tract 248, King County, Washington","32.3","2.1","29.7","11.5","33.4","2.5"
"1500000US530330249011","Block Group 1, Census Tract 249.01, King County, Washington","45.2","4.1","43.8","6.2","45.5","3.9"
"1500000US530330249012","Block Group 2, Census Tract 249.01, King County, Washington","49.4","3.7","49.9","5.0","49.1","5.5"
"1500000US530330249013","Block Group 3, Census Tract 249.01, King County, Washington","48.5","5.3","47.5","7.3","48.8","4.6"
"1500000US530330249014","Block Group 4, Census Tract 249.01, King County, Washington","41.4","6.9","35.0","5.8","44.6","5.8"
"1500000US530330249021","Block Group 1, Census Tract 249.02, King County, Washington","42.0","8.7","37.7","8.5","42.4","5.0"
"1500000US530330249022","Block Group 2, Census Tract 249.02, King County, Washington","44.6","2.9","44.3","7.6","44.7","2.7"
"1500000US530330249023","Block Group 3, Census Tract 249.02, King County, Washington","37.7","4.5","36.4","2.4","42.2","6.6"
"1500000US530330249031","Block Group 1, Census Tract 249.03, King County, Washington","39.0","6.8","38.7","8.9","39.6","6.5"
"1500000US530330249032","Block Group 2, Census Tract 249.03, King County, Washington","45.5","4.4","43.6","7.1","45.7","3.9"
"1500000US530330249033","Block Group 3, Census Tract 249.03, King County, Washington","43.4","5.5","43.3","5.3","44.1","8.2"
"1500000US530330249034","Block Group 4, Census Tract 249.03, King County, Washington","50.3","2.4","50.7","2.4","48.2","6.3"
"1500000US530330250011","Block Group 1, Census Tract 250.01, King County, Washington","42.1","5.9","42.8","8.9","38.9","8.5"
"1500000US530330250012","Block Group 2, Census Tract 250.01, King County, Washington","36.3","3.3","35.6","4.7","36.8","3.6"
"1500000US530330250013","Block Group 3, Census Tract 250.01, King County, Washington","43.7","6.0","48.0","3.9","41.5","11.9"
"1500000US530330250014","Block Group 4, Census Tract 250.01, King County, Washington","38.3","2.5","34.9","16.9","43.6","8.2"
"1500000US530330250031","Block Group 1, Census Tract 250.03, King County, Washington","59.2","6.1","57.5","21.8","59.4","3.8"
"1500000US530330250032","Block Group 2, Census Tract 250.03, King County, Washington","39.0","7.2","37.0","6.8","40.0","8.9"
"1500000US530330250033","Block Group 3, Census Tract 250.03, King County, Washington","44.9","12.3","32.6","11.2","52.5","8.6"
"1500000US530330250034","Block Group 4, Census Tract 250.03, King County, Washington","42.4","7.6","41.4","5.1","43.5","12.2"
"1500000US530330250035","Block Group 5, Census Tract 250.03, King County, Washington","31.6","6.3","38.3","12.2","31.2","2.7"
"1500000US530330250051","Block Group 1, Census Tract 250.05, King County, Washington","41.4","1.6","41.5","2.5","41.2","2.2"
"1500000US530330250052","Block Group 2, Census Tract 250.05, King County, Washington","35.6","2.9","35.5","2.4","37.1","4.9"
"1500000US530330250061","Block Group 1, Census Tract 250.06, King County, Washington","35.0","10.6","29.8","11.7","36.0","9.7"
"1500000US530330250062","Block Group 2, Census Tract 250.06, King County, Washington","38.9","4.9","36.8","4.7","41.3","6.4"
"1500000US530330250063","Block Group 3, Census Tract 250.06, King County, Washington","39.7","5.0","40.3","4.7","39.1","7.9"
"1500000US530330251011","Block Group 1, Census Tract 251.01, King County, Washington","31.3","12.9","37.2","14.5","25.6","5.7"
"1500000US530330251012","Block Group 2, Census Tract 251.01, King County, Washington","32.9","14.1","27.9","11.1","50.3","15.3"
"1500000US530330251013","Block Group 3, Census Tract 251.01, King County, Washington","36.8","5.0","30.8","12.6","38.9","4.7"
"1500000US530330251014","Block Group 4, Census Tract 251.01, King County, Washington","39.4","3.0","35.7","7.5","43.1","4.0"
"1500000US530330251021","Block Group 1, Census Tract 251.02, King County, Washington","41.4","12.5","41.1","14.0","42.3","15.7"
"1500000US530330251022","Block Group 2, Census Tract 251.02, King County, Washington","36.1","3.2","36.1","5.2","34.8","4.9"
"1500000US530330251023","Block Group 3, Census Tract 251.02, King County, Washington","34.3","3.6","37.6","3.3","29.8","4.5"
"1500000US530330251024","Block Group 4, Census Tract 251.02, King County, Washington","37.8","6.9","39.4","10.2","35.9","6.6"
"1500000US530330252001","Block Group 1, Census Tract 252, King County, Washington","37.7","6.2","44.0","15.1","36.6","9.4"
"1500000US530330252002","Block Group 2, Census Tract 252, King County, Washington","36.4","7.5","31.6","8.0","37.7","10.2"
"1500000US530330252003","Block Group 3, Census Tract 252, King County, Washington","39.2","9.0","39.7","11.0","34.0","17.0"
"1500000US530330252004","Block Group 4, Census Tract 252, King County, Washington","37.0","6.4","30.9","8.2","40.6","2.1"
"1500000US530330252005","Block Group 5, Census Tract 252, King County, Washington","37.4","7.6","37.8","7.9","37.3","11.6"
"1500000US530330253011","Block Group 1, Census Tract 253.01, King County, Washington","34.5","7.4","35.8","7.1","28.4","17.7"
"1500000US530330253012","Block Group 2, Census Tract 253.01, King County, Washington","44.9","1.7","44.6","6.8","45.1","1.8"
"1500000US530330253013","Block Group 3, Census Tract 253.01, King County, Washington","33.7","5.3","38.6","7.5","31.5","4.1"
"1500000US530330253021","Block Group 1, Census Tract 253.02, King County, Washington","48.0","7.6","42.3","6.6","54.0","11.7"
"1500000US530330253022","Block Group 2, Census Tract 253.02, King County, Washington","43.5","9.3","34.2","13.9","48.6","11.5"
"1500000US530330253023","Block Group 3, Census Tract 253.02, King County, Washington","26.9","7.6","30.3","17.5","26.7","6.0"
"1500000US530330254001","Block Group 1, Census Tract 254, King County, Washington","40.3","11.8","38.4","10.1","49.6","25.9"
"1500000US530330254002","Block Group 2, Census Tract 254, King County, Washington","38.2","8.7","34.7","5.6","39.7","8.9"
"1500000US530330254003","Block Group 3, Census Tract 254, King County, Washington","30.0","3.3","29.8","2.5","31.5","9.5"
"1500000US530330254004","Block Group 4, Census Tract 254, King County, Washington","37.9","11.1","45.5","10.6","35.1","9.1"
"1500000US530330255001","Block Group 1, Census Tract 255, King County, Washington","32.8","2.4","31.6","1.7","34.1","1.5"
"1500000US530330255002","Block Group 2, Census Tract 255, King County, Washington","37.3","9.3","36.5","10.6","39.1","9.9"
"1500000US530330255003","Block Group 3, Census Tract 255, King County, Washington","43.2","5.2","41.6","6.9","43.5","7.5"
"1500000US530330256011","Block Group 1, Census Tract 256.01, King County, Washington","37.7","2.7","37.5","2.4","38.1","5.0"
"1500000US530330256012","Block Group 2, Census Tract 256.01, King County, Washington","38.6","10.5","38.8","10.9","38.3","15.5"
"1500000US530330256013","Block Group 3, Census Tract 256.01, King County, Washington","38.1","3.6","34.6","3.6","40.5","3.9"
"1500000US530330256021","Block Group 1, Census Tract 256.02, King County, Washington","38.0","4.6","40.2","3.2","35.3","4.4"
"1500000US530330256022","Block Group 2, Census Tract 256.02, King County, Washington","51.5","12.1","45.0","11.0","53.0","6.5"
"1500000US530330256023","Block Group 3, Census Tract 256.02, King County, Washington","41.4","5.0","41.8","8.2","41.3","5.4"
"1500000US530330257011","Block Group 1, Census Tract 257.01, King County, Washington","42.9","5.6","42.5","5.7","44.1","10.7"
